dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
8991,484,MC-ICP-MS U/Th,725,,725,calcite,,,224500,1800,1800,,,yes,355,0.4,1350,20,,,1082.821871,12.9568429,1.3511,0.0035,1.5502,0.0027,0.814430125,0.407215062,Cheng et al. 2000,224400,1800,1800,yes,,yes,yes,,yes,yes
8992,485,MC-ICP-MS U/Th,16,,16,calcite,,,56700,500,500,,,yes,440,1,300,80,,,3700,925,0.9075,0.0054,1.5949,0.0044,0.814430125,0.407215062,Cheng et al. 2000,56600,500,500,yes,,yes,yes,yes,yes,
8993,485,MC-ICP-MS U/Th,20,,20,calcite,,,57100,400,400,,,yes,429,1,1860,40,,,703.3714716,14.80782045,0.9985,0.005,1.4821,0.0049,0.814430125,0.407215062,Cheng et al. 2000,57000,400,400,yes,,yes,yes,yes,yes,
8994,485,MC-ICP-MS U/Th,34,,34,calcite,,,57400,400,400,,,yes,604,1,660,60,,,2410,185,0.8786,0.0047,1.4808,0.003,0.814430125,0.407215062,Cheng et al. 2000,57300,400,400,yes,,yes,yes,yes,yes,
8995,485,MC-ICP-MS U/Th,77,,77,calcite,,,60000,600,600,,,yes,294,1,790,60,,,1240.154963,92.54887784,1.0782,0.0071,1.4584,0.0036,0.814430125,0.407215062,Cheng et al. 2000,59900,600,600,yes,,yes,yes,yes,yes,
8996,485,MC-ICP-MS U/Th,107,,107,calcite,,,70000,600,600,,,yes,435,1,250,80,,,5550,1850,1.04,0.0062,1.465,0.0026,0.814430125,0.407215062,Cheng et al. 2000,70000,600,600,yes,,yes,yes,yes,yes,
8997,485,MC-ICP-MS U/Th,146,,146,calcite,,,71500,400,400,,,yes,413,1,550,20,,,2369.251273,74.03910227,1.0383,0.004,1.4784,0.0023,0.814430125,0.407215062,Cheng et al. 2000,71400,400,400,yes,,yes,yes,yes,yes,
8998,485,MC-ICP-MS U/Th,173,,173,calcite,,,72800,400,400,,,yes,551,1,480,20,,,3646.425787,129.568429,1.0457,0.0039,1.4727,0.0045,0.814430125,0.407215062,Cheng et al. 2000,72700,400,400,yes,,yes,yes,yes,yes,
8999,485,MC-ICP-MS U/Th,217,,217,calcite,,,74700,600,600,,,yes,613,1,770,400,,,2535.839253,148.0782045,1.0468,0.0055,1.5113,0.0048,0.814430125,0.407215062,Cheng et al. 2000,74700,600,600,yes,,yes,yes,yes,yes,
9000,485,MC-ICP-MS U/Th,237,,237,calcite,,,77100,700,700,,,yes,460,1,410,40,,,3700,370,1.0935,0.0072,1.6167,0.0037,0.814430125,0.407215062,Cheng et al. 2000,77100,700,700,yes,,yes,yes,yes,yes,
9001,485,MC-ICP-MS U/Th,257,,257,calcite,,,78800,800,800,,,yes,523,2,70,80,,,18500,1850,1.0387,0.0064,1.5186,0.002,0.814430125,0.407215062,Cheng et al. 2000,78800,800,800,yes,,yes,yes,yes,yes,
9002,485,MC-ICP-MS U/Th,260,,260,calcite,,,84400,700,700,,,yes,505,1,100,60,,,18500,11100,1.1664,0.0061,1.6044,0.002,0.814430125,0.407215062,Cheng et al. 2000,84300,700,700,yes,,yes,yes,yes,yes,
9003,485,MC-ICP-MS U/Th,306,,306,calcite,,,85800,700,700,,,yes,735,2,1630,50,,,1573.330923,55.5293267,1.1346,0.0062,1.6012,0.002,0.814430125,0.407215062,Cheng et al. 2000,85700,700,700,yes,,yes,yes,yes,yes,
9004,485,MC-ICP-MS U/Th,314,,314,calcite,,,88100,500,500,,,yes,449,1,940,20,,,1721.409128,37.01955113,1.1833,0.0043,1.607,0.0042,0.814430125,0.407215062,Cheng et al. 2000,88000,500,500,yes,,yes,yes,yes,yes,
