sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,bchron_age,bchron_age_uncert_pos,bchron_age_uncert_neg,bacon_age,bacon_age_uncert_pos,bacon_age_uncert_neg,oxcal_age,oxcal_age_uncert_pos,oxcal_age_uncert_neg,copra_age,copra_age_uncert_pos,copra_age_uncert_neg,stalage_age,stalage_age_uncert_pos,stalage_age_uncert_neg
25657,5757.166859,13.69150041,13.89169427,,,,5758,81,21,5745.798675,23.3406125,169.3025687,5740.024597,88.11364546,88.11364546,5754.106357,14.39689576,13.6814558,5764.663105,11.65652369,11.80112215
25658,5760.747212,13.55991784,13.84260806,,,,5761,81.15,21,5748.57712,24.110463,171.9098076,5741.817354,93.5989607,93.5989607,5757.160669,14.30543703,13.75019362,5767.948308,11.59456871,11.59731472
25659,5764.258219,13.42195722,13.83130534,,,,5765,83,23,5751.285738,24.59254875,174.447219,5743.912639,97.75675023,97.75675023,5760.166315,14.31730753,13.64752262,5771.29185,11.49411845,11.43775914
25660,5767.788239,13.1981121,13.81005953,,,,5768,85.05,24,5754.1092,24.9276015,177.0994754,5746.404303,101.5104412,101.5104412,5763.200984,14.30926725,13.77246547,5774.679233,11.36085295,11.32161442
25661,5771.366058,12.96148576,13.62176157,,,,5772,90,26,5756.781305,25.97911,179.6003743,5749.491251,105.3486173,105.3486173,5766.226368,14.33841352,13.84572302,5778.086967,11.20725476,11.24299087
25662,5774.890562,12.77745259,13.44152418,,,,5775,90,28,5759.55774,26.821146,182.2056032,5752.929486,109.1283643,109.1283643,5769.186004,14.38762424,13.85141131,5781.491561,11.04580639,11.19599878
25663,5778.437455,12.64998198,13.27410303,,,,5779,88,30,5762.41905,27.32361925,184.8957071,5756.161563,112.7967801,112.7967801,5772.220652,14.23126555,13.80349812,5784.875516,10.88483976,11.17278216
25664,5781.934424,12.51458151,12.86079334,,,,5782,87.05,32,5765.21655,27.888985,187.3521923,5759.790463,115.3507713,115.3507713,5775.214263,14.12677674,13.72966446,5788.245299,10.71608433,11.15761976
25665,5785.477963,12.27322866,12.63950984,,,,5786,87.05,34,5768.175723,28.109474,190.1088595,5763.824166,118.3215494,118.3215494,5778.151282,14.17227024,13.58810023,5791.61337,10.52711893,11.13282402
25666,5788.948251,12.10731804,12.49186957,,,,5789.5,86.5,35.5,5770.8029,28.46534,192.3128429,5767.85787,121.0279417,121.0279417,5781.057306,14.16991646,13.42717867,5794.992188,10.3055224,11.08070739
25667,5792.41844,12.08439209,12.27382011,,,,5793,86.05,38,5773.640638,29.23927025,194.7375082,5771.503621,124.0112323,124.0112323,5783.966915,14.0552148,13.3415395,5798.388652,10.04785554,10.98902122
25668,5795.888067,11.98590406,12.01482514,,,,5797,86.05,41,5776.381895,29.7437285,197.3236246,5775.76142,125.9240595,125.9240595,5786.925139,14.05233974,13.20691676,5801.787428,9.786607049,10.86727247
25669,5799.384857,11.87189798,11.66284296,,,,5800,87,42,5779.232125,30.37821375,200.0187134,5780.243313,127.7322887,127.7322887,5789.886686,13.85756499,13.16669622,5805.167617,9.563247583,10.73040699
25670,5802.884056,11.69923751,11.4633806,,,,5803,86.05,44,5782.0714,31.052364,202.7028472,5784.725206,129.5547699,129.5547699,5792.831353,13.63919604,13.05088771,5808.508326,9.419247808,10.59337063
25671,5806.404554,11.46638344,11.25228914,,,,5807,84,46,5784.871143,31.68507675,205.294417,5789.206775,131.3953049,131.3953049,5795.799172,13.47403628,12.98395019,5811.795831,9.381839083,10.46847552
25672,5809.938385,11.33480143,11.22295333,,,,5810,83,48,5787.57696,32.6930595,207.7052322,5793.816906,133.1949349,133.1949349,5798.77641,13.29947525,12.99545846,5815.045097,9.421295544,10.35749884
