sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
65754,1129.4,,,other (see notes),not applicable,not applicable
65755,1131.7,,,other (see notes),not applicable,not applicable
65756,1133.9,,,other (see notes),not applicable,not applicable
65757,1136.1,,,other (see notes),not applicable,not applicable
65758,1138.3,,,other (see notes),not applicable,not applicable
65759,1140.5,,,other (see notes),not applicable,not applicable
65760,1142.8,,,other (see notes),not applicable,not applicable
65761,1145,,,other (see notes),not applicable,not applicable
65762,1147.2,,,other (see notes),not applicable,not applicable
65763,1149.4,,,other (see notes),not applicable,not applicable
65764,1151.6,,,other (see notes),not applicable,not applicable
65765,1153.9,,,other (see notes),not applicable,not applicable
65766,1156.1,,,other (see notes),not applicable,not applicable
65767,1158.3,,,other (see notes),not applicable,not applicable
65768,1160.5,,,other (see notes),not applicable,not applicable
65769,1162.7,,,other (see notes),not applicable,not applicable
65770,1165,,,other (see notes),not applicable,not applicable
65771,1167.2,,,other (see notes),not applicable,not applicable
65772,1169.4,,,other (see notes),not applicable,not applicable
65773,1171.6,,,other (see notes),not applicable,not applicable
65774,1173.8,,,other (see notes),not applicable,not applicable
65775,1176.1,,,other (see notes),not applicable,not applicable
65776,1178.3,,,other (see notes),not applicable,not applicable
65777,1180.5,,,other (see notes),not applicable,not applicable
65778,1182.7,,,other (see notes),not applicable,not applicable
65779,1184.9,,,other (see notes),not applicable,not applicable
65780,1187.2,,,other (see notes),not applicable,not applicable
65781,1189.4,,,other (see notes),not applicable,not applicable
65782,1191.6,,,other (see notes),not applicable,not applicable
65783,1193.8,,,other (see notes),not applicable,not applicable
65784,1196,,,other (see notes),not applicable,not applicable
65785,1198.3,,,other (see notes),not applicable,not applicable
65786,1200.5,,,other (see notes),not applicable,not applicable
65787,1202.7,,,other (see notes),not applicable,not applicable
65788,1204.9,,,other (see notes),not applicable,not applicable
65789,1207.1,,,other (see notes),not applicable,not applicable
65790,1209.4,,,other (see notes),not applicable,not applicable
65791,1211.6,,,other (see notes),not applicable,not applicable
65792,1213.8,,,other (see notes),not applicable,not applicable
65793,1216,,,other (see notes),not applicable,not applicable
65794,1218.2,,,other (see notes),not applicable,not applicable
65795,1220.5,,,other (see notes),not applicable,not applicable
65796,1222.7,,,other (see notes),not applicable,not applicable
65797,1224.9,,,other (see notes),not applicable,not applicable
65798,1227.1,,,other (see notes),not applicable,not applicable
65799,1231.6,,,other (see notes),not applicable,not applicable
65800,1233.8,,,other (see notes),not applicable,not applicable
65801,1236,,,other (see notes),not applicable,not applicable
65802,1238.2,,,other (see notes),not applicable,not applicable
65803,1240.4,,,other (see notes),not applicable,not applicable
65804,1242.7,,,other (see notes),not applicable,not applicable
65805,1244.9,,,other (see notes),not applicable,not applicable
65806,1247.1,,,other (see notes),not applicable,not applicable
65807,1249.3,,,other (see notes),not applicable,not applicable
65808,1251.5,,,other (see notes),not applicable,not applicable
65809,1253.8,,,other (see notes),not applicable,not applicable
65810,1256,,,other (see notes),not applicable,not applicable
65811,1258.2,,,other (see notes),not applicable,not applicable
65812,1260.4,,,other (see notes),not applicable,not applicable
65813,1269.3,,,other (see notes),not applicable,not applicable
65814,1271.5,,,other (see notes),not applicable,not applicable
65815,1273.7,,,other (see notes),not applicable,not applicable
65816,1276,,,other (see notes),not applicable,not applicable
65817,1278.2,,,other (see notes),not applicable,not applicable
65818,1280.4,,,other (see notes),not applicable,not applicable
65819,1282.6,,,other (see notes),not applicable,not applicable
65820,1284.8,,,other (see notes),not applicable,not applicable
65821,1287.1,,,other (see notes),not applicable,not applicable
65822,1289.3,,,other (see notes),not applicable,not applicable
65823,1291.5,,,other (see notes),not applicable,not applicable
65824,1293.7,,,other (see notes),not applicable,not applicable
65825,1295.9,,,other (see notes),not applicable,not applicable
65826,1298.2,,,other (see notes),not applicable,not applicable
65827,1300.4,,,other (see notes),not applicable,not applicable
65828,1302.6,,,other (see notes),not applicable,not applicable
65829,1304.8,,,other (see notes),not applicable,not applicable
65830,1307,,,other (see notes),not applicable,not applicable
65831,1309.3,,,other (see notes),not applicable,not applicable
65832,1311.5,,,other (see notes),not applicable,not applicable
65833,1313.7,,,other (see notes),not applicable,not applicable
65834,1315.9,,,other (see notes),not applicable,not applicable
65835,1318.1,,,other (see notes),not applicable,not applicable
65836,1320.4,,,other (see notes),not applicable,not applicable
65837,1322.6,,,other (see notes),not applicable,not applicable
65838,1324.8,,,other (see notes),not applicable,not applicable
65839,1327,,,other (see notes),not applicable,not applicable
65840,1329.2,,,other (see notes),not applicable,not applicable
65841,1331.5,,,other (see notes),not applicable,not applicable
65842,1333.7,,,other (see notes),not applicable,not applicable
65843,1335.9,,,other (see notes),not applicable,not applicable
65844,1338.1,,,other (see notes),not applicable,not applicable
65845,1340.3,,,other (see notes),not applicable,not applicable
65846,1342.6,,,other (see notes),not applicable,not applicable
65847,1344.8,,,other (see notes),not applicable,not applicable
65848,1347,,,other (see notes),not applicable,not applicable
65849,1350.5,,,other (see notes),not applicable,not applicable
65850,1354,,,other (see notes),not applicable,not applicable
65851,1357.4,,,other (see notes),not applicable,not applicable
65852,1360.9,,,other (see notes),not applicable,not applicable
65853,1364.4,,,other (see notes),not applicable,not applicable
65854,1367.9,,,other (see notes),not applicable,not applicable
65855,1371.4,,,other (see notes),not applicable,not applicable
65856,1374.8,,,other (see notes),not applicable,not applicable
65857,1378.3,,,other (see notes),not applicable,not applicable
65858,1381.8,,,other (see notes),not applicable,not applicable
65859,1385.3,,,other (see notes),not applicable,not applicable
65860,1388.8,,,other (see notes),not applicable,not applicable
65861,1392.2,,,other (see notes),not applicable,not applicable
65862,1395.7,,,other (see notes),not applicable,not applicable
65863,1399.2,,,other (see notes),not applicable,not applicable
65864,1402.7,,,other (see notes),not applicable,not applicable
65865,1406.2,,,other (see notes),not applicable,not applicable
65866,1409.6,,,other (see notes),not applicable,not applicable
65867,1413.1,,,other (see notes),not applicable,not applicable
65868,1416.6,,,other (see notes),not applicable,not applicable
65869,1420.1,,,other (see notes),not applicable,not applicable
65870,1423.6,,,other (see notes),not applicable,not applicable
65871,1427,,,other (see notes),not applicable,not applicable
65872,1430.5,,,other (see notes),not applicable,not applicable
65873,1434,,,other (see notes),not applicable,not applicable
65874,1437.5,,,other (see notes),not applicable,not applicable
65875,1441,,,other (see notes),not applicable,not applicable
65876,1444.4,,,other (see notes),not applicable,not applicable
65877,1447.9,,,other (see notes),not applicable,not applicable
65878,1451.4,,,other (see notes),not applicable,not applicable
65879,1454.9,,,other (see notes),not applicable,not applicable
65880,1458.4,,,other (see notes),not applicable,not applicable
65881,1461.8,,,other (see notes),not applicable,not applicable
65882,1465.3,,,other (see notes),not applicable,not applicable
65883,1468.8,,,other (see notes),not applicable,not applicable
65884,1472.3,,,other (see notes),not applicable,not applicable
65885,1475.8,,,other (see notes),not applicable,not applicable
65886,1479.2,,,other (see notes),not applicable,not applicable
65887,1482.7,,,other (see notes),not applicable,not applicable
65888,1486.2,,,other (see notes),not applicable,not applicable
65889,1489.7,,,other (see notes),not applicable,not applicable
65890,1493.2,,,other (see notes),not applicable,not applicable
65891,1496.6,,,other (see notes),not applicable,not applicable
65892,1500.1,,,other (see notes),not applicable,not applicable
65893,1503.6,,,other (see notes),not applicable,not applicable
65894,1507.1,,,other (see notes),not applicable,not applicable
65895,1510.6,,,other (see notes),not applicable,not applicable
65896,1514,,,other (see notes),not applicable,not applicable
65897,1517.5,,,other (see notes),not applicable,not applicable
65898,1521,,,other (see notes),not applicable,not applicable
65899,1524.5,,,other (see notes),not applicable,not applicable
65900,1528,,,other (see notes),not applicable,not applicable
65901,1531.4,,,other (see notes),not applicable,not applicable
65902,1534.9,,,other (see notes),not applicable,not applicable
